# hyp_utils/conda_env.sh pack-wav-rirs.py --input data/rirs_mediumroom/wav.scp --output h5,scp:/home/mkhelfi1/hyperion/egs/adc24/exp/rirs/rirs_mediumroom/rirs_rirs_mediumroom.h5,data/rirs_mediumroom/rirs.scp 
# Started at Thu Apr 18 20:31:56 EDT 2024
#
Python 3.6.13 :: Anaconda, Inc.
2024-04-18 20:32:00,300 (pack-wav-rirs:41) INFO: Packing rir Room001-00001.wav h_max=0.010223 h_delay=232 h-length=5212
2024-04-18 20:32:00,304 (pack-wav-rirs:41) INFO: Packing rir Room001-00002.wav h_max=0.026642 h_delay=123 h-length=6476
2024-04-18 20:32:00,308 (pack-wav-rirs:41) INFO: Packing rir Room001-00003.wav h_max=0.031982 h_delay=77 h-length=5029
2024-04-18 20:32:00,311 (pack-wav-rirs:41) INFO: Packing rir Room001-00004.wav h_max=0.011658 h_delay=210 h-length=5562
2024-04-18 20:32:00,315 (pack-wav-rirs:41) INFO: Packing rir Room001-00005.wav h_max=0.035828 h_delay=77 h-length=5027
2024-04-18 20:32:00,319 (pack-wav-rirs:41) INFO: Packing rir Room001-00006.wav h_max=0.014221 h_delay=215 h-length=5254
2024-04-18 20:32:00,323 (pack-wav-rirs:41) INFO: Packing rir Room001-00007.wav h_max=0.028595 h_delay=116 h-length=5318
2024-04-18 20:32:00,327 (pack-wav-rirs:41) INFO: Packing rir Room001-00008.wav h_max=0.019562 h_delay=164 h-length=5485
2024-04-18 20:32:00,330 (pack-wav-rirs:41) INFO: Packing rir Room001-00009.wav h_max=0.017242 h_delay=214 h-length=5318
2024-04-18 20:32:00,335 (pack-wav-rirs:41) INFO: Packing rir Room001-00010.wav h_max=0.015411 h_delay=221 h-length=5463
2024-04-18 20:32:00,339 (pack-wav-rirs:41) INFO: Packing rir Room001-00011.wav h_max=0.012543 h_delay=229 h-length=5181
2024-04-18 20:32:00,343 (pack-wav-rirs:41) INFO: Packing rir Room001-00012.wav h_max=0.029053 h_delay=100 h-length=5484
2024-04-18 20:32:00,346 (pack-wav-rirs:41) INFO: Packing rir Room001-00013.wav h_max=0.020325 h_delay=164 h-length=5517
