# Running on b08
# Started at Thu Apr 18 20:14:49 EDT 2024
# hyp_utils/conda_env.sh make-babble-noise-audio-files.py --output-audio-format flac --min-spks 3 --max-spks 10 --num-reuses 5 --write-time-durs data/musan_speech_babble/utt2dur --input data/musan_speech/wav.scp --output-path /home/mkhelfi1/hyperion/egs/adc24/exp/musan_speech_babble --output-script data/musan_speech_babble/wav.scp 
Python 3.6.13 :: Anaconda, Inc.
2024-04-18 20:14:52,542 (make-babble-noise-audio-files:56) INFO: input_args={'wav_scale': 32767}
2024-04-18 20:14:52,542 (make-babble-noise-audio-files:57) INFO: output_args={'audio_format': 'flac', 'audio_subtype': None}
2024-04-18 20:14:53,519 (make-babble-noise-audio-files:85) INFO: writing file babble-00000
2024-04-18 20:14:54,785 (make-babble-noise-audio-files:85) INFO: writing file babble-00001
2024-04-18 20:14:57,111 (make-babble-noise-audio-files:85) INFO: writing file babble-00002
2024-04-18 20:15:00,060 (make-babble-noise-audio-files:85) INFO: writing file babble-00003
2024-04-18 20:15:03,231 (make-babble-noise-audio-files:85) INFO: writing file babble-00004
2024-04-18 20:15:06,563 (make-babble-noise-audio-files:85) INFO: writing file babble-00005
2024-04-18 20:15:10,464 (make-babble-noise-audio-files:85) INFO: writing file babble-00006
2024-04-18 20:15:14,560 (make-babble-noise-audio-files:85) INFO: writing file babble-00007
2024-04-18 20:15:15,822 (make-babble-noise-audio-files:85) INFO: writing file babble-00008
2024-04-18 20:15:17,938 (make-babble-noise-audio-files:85) INFO: writing file babble-00009
2024-04-18 20:15:19,823 (make-babble-noise-audio-files:85) INFO: writing file babble-00010
2024-04-18 20:15:22,337 (make-babble-noise-audio-files:85) INFO: writing file babble-00011
2024-04-18 20:15:25,009 (make-babble-noise-audio-files:85) INFO: writing file babble-00012
2024-04-18 20:15:28,311 (make-babble-noise-audio-files:85) INFO: writing file babble-00013
2024-04-18 20:15:31,968 (make-babble-noise-audio-files:85) INFO: writing file babble-00014
2024-04-18 20:15:35,433 (make-babble-noise-audio-files:85) INFO: writing file babble-00015
2024-04-18 20:15:37,388 (make-babble-noise-audio-files:85) INFO: writing file babble-00016
2024-04-18 20:15:39,067 (make-babble-noise-audio-files:85) INFO: writing file babble-00017
2024-04-18 20:15:41,062 (make-babble-noise-audio-files:85) INFO: writing file babble-00018
2024-04-18 20:15:43,525 (make-babble-noise-audio-files:85) INFO: writing file babble-00019
2024-04-18 20:15:46,731 (make-babble-noise-audio-files:85) INFO: writing file babble-00020
2024-04-18 20:15:50,050 (make-babble-noise-audio-files:85) INFO: writing file babble-00021
2024-04-18 20:15:53,827 (make-babble-noise-audio-files:85) INFO: writing file babble-00022
2024-04-18 20:15:58,357 (make-babble-noise-audio-files:85) INFO: writing file babble-00023
2024-04-18 20:15:59,540 (make-babble-noise-audio-files:85) INFO: writing file babble-00024
2024-04-18 20:16:01,582 (make-babble-noise-audio-files:85) INFO: writing file babble-00025
2024-04-18 20:16:03,659 (make-babble-noise-audio-files:85) INFO: writing file babble-00026
2024-04-18 20:16:06,256 (make-babble-noise-audio-files:85) INFO: writing file babble-00027
2024-04-18 20:16:08,797 (make-babble-noise-audio-files:85) INFO: writing file babble-00028
2024-04-18 20:16:11,687 (make-babble-noise-audio-files:85) INFO: writing file babble-00029
2024-04-18 20:16:15,378 (make-babble-noise-audio-files:85) INFO: writing file babble-00030
2024-04-18 20:16:19,337 (make-babble-noise-audio-files:85) INFO: writing file babble-00031
2024-04-18 20:16:20,921 (make-babble-noise-audio-files:85) INFO: writing file babble-00032
2024-04-18 20:16:22,907 (make-babble-noise-audio-files:85) INFO: writing file babble-00033
2024-04-18 20:16:25,595 (make-babble-noise-audio-files:85) INFO: writing file babble-00034
2024-04-18 20:16:28,433 (make-babble-noise-audio-files:85) INFO: writing file babble-00035
2024-04-18 20:16:31,147 (make-babble-noise-audio-files:85) INFO: writing file babble-00036
2024-04-18 20:16:34,515 (make-babble-noise-audio-files:85) INFO: writing file babble-00037
2024-04-18 20:16:38,942 (make-babble-noise-audio-files:85) INFO: writing file babble-00038
2024-04-18 20:16:43,802 (make-babble-noise-audio-files:85) INFO: writing file babble-00039
2024-04-18 20:16:45,209 (make-babble-noise-audio-files:85) INFO: writing file babble-00040
2024-04-18 20:16:46,912 (make-babble-noise-audio-files:85) INFO: writing file babble-00041
2024-04-18 20:16:48,942 (make-babble-noise-audio-files:85) INFO: writing file babble-00042
2024-04-18 20:16:51,574 (make-babble-noise-audio-files:85) INFO: writing file babble-00043
2024-04-18 20:16:54,572 (make-babble-noise-audio-files:85) INFO: writing file babble-00044
2024-04-18 20:16:57,700 (make-babble-noise-audio-files:85) INFO: writing file babble-00045
2024-04-18 20:17:02,537 (make-babble-noise-audio-files:85) INFO: writing file babble-00046
2024-04-18 20:17:06,729 (make-babble-noise-audio-files:85) INFO: writing file babble-00047
2024-04-18 20:17:07,973 (make-babble-noise-audio-files:85) INFO: writing file babble-00048
2024-04-18 20:17:09,852 (make-babble-noise-audio-files:85) INFO: writing file babble-00049
2024-04-18 20:17:12,051 (make-babble-noise-audio-files:85) INFO: writing file babble-00050
2024-04-18 20:17:14,539 (make-babble-noise-audio-files:85) INFO: writing file babble-00051
2024-04-18 20:17:18,540 (make-babble-noise-audio-files:85) INFO: writing file babble-00052
2024-04-18 20:17:22,209 (make-babble-noise-audio-files:85) INFO: writing file babble-00053
2024-04-18 20:17:25,935 (make-babble-noise-audio-files:85) INFO: writing file babble-00054
2024-04-18 20:17:30,301 (make-babble-noise-audio-files:85) INFO: writing file babble-00055
2024-04-18 20:17:31,724 (make-babble-noise-audio-files:85) INFO: writing file babble-00056
2024-04-18 20:17:32,703 (make-babble-noise-audio-files:85) INFO: writing file babble-00057
2024-04-18 20:17:34,317 (make-babble-noise-audio-files:85) INFO: writing file babble-00058
2024-04-18 20:17:35,526 (make-babble-noise-audio-files:85) INFO: writing file babble-00059
2024-04-18 20:17:37,977 (make-babble-noise-audio-files:85) INFO: writing file babble-00060
