# hyp_utils/conda_env.sh pack-wav-rirs.py --input data/rirs_real/wav.scp --output h5,scp:/home/mkhelfi1/hyperion/egs/adc24/exp/rirs/rirs_real/rirs_rirs_real.h5,data/rirs_real/rirs.scp 
# Started at Thu Apr 18 20:33:10 EDT 2024
#
Python 3.6.13 :: Anaconda, Inc.
2024-04-18 20:33:15,274 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_largeroom1_far_angla.wav h_max=0.999969 h_delay=2187 h-length=14982
2024-04-18 20:33:15,279 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_largeroom1_far_anglb.wav h_max=0.999969 h_delay=2191 h-length=13194
2024-04-18 20:33:15,284 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_largeroom1_near_angla.wav h_max=0.999969 h_delay=2065 h-length=6436
2024-04-18 20:33:15,289 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_largeroom1_near_anglb.wav h_max=0.864929 h_delay=2217 h-length=7465
2024-04-18 20:33:15,293 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_largeroom2_far_angla.wav h_max=-1.000000 h_delay=811 h-length=12478
2024-04-18 20:33:15,296 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_largeroom2_far_anglb.wav h_max=-1.000000 h_delay=818 h-length=15779
2024-04-18 20:33:15,300 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_largeroom2_near_angla.wav h_max=-1.000000 h_delay=742 h-length=8751
2024-04-18 20:33:15,305 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_largeroom2_near_anglb.wav h_max=-0.889069 h_delay=748 h-length=8248
2024-04-18 20:33:15,308 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_mediumroom1_far_angla.wav h_max=0.999969 h_delay=2266 h-length=15384
2024-04-18 20:33:15,313 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_mediumroom1_far_anglb.wav h_max=0.999969 h_delay=2269 h-length=6511
2024-04-18 20:33:15,318 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_mediumroom1_near_angla.wav h_max=0.999969 h_delay=2205 h-length=6290
2024-04-18 20:33:15,323 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_mediumroom1_near_anglb.wav h_max=0.813263 h_delay=2048 h-length=5121
2024-04-18 20:33:15,326 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_mediumroom2_far_angla.wav h_max=0.999969 h_delay=2214 h-length=13409
2024-04-18 20:33:15,331 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_mediumroom2_far_anglb.wav h_max=0.999969 h_delay=2216 h-length=10141
2024-04-18 20:33:15,336 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_mediumroom2_near_angla.wav h_max=0.999969 h_delay=2175 h-length=5460
2024-04-18 20:33:15,342 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_mediumroom2_near_anglb.wav h_max=0.999969 h_delay=2161 h-length=5766
2024-04-18 20:33:15,345 (pack-wav-rirs:41) INFO: Packing rir RVB2014_type1_rir_smallroom1_far_angla.wav h_max=-0.854034 h_delay=2209 h-length=14944
